ts,co2,humidity,pm10,pm25,temperature,voc,Month,Week,Day,Day_of_week,Hour,is_weekend,co2_lag_1,humidity_lag_1,pm10_lag_1,pm25_lag_1,temperature_lag_1,voc_lag_1,co2_lag_2,humidity_lag_2,pm10_lag_2,pm25_lag_2,temperature_lag_2,voc_lag_2,co2_lag_3,humidity_lag_3,pm10_lag_3,pm25_lag_3,temperature_lag_3,voc_lag_3,co2_lag_24,humidity_lag_24,pm10_lag_24,pm25_lag_24,temperature_lag_24,voc_lag_24,co2_window,humidity_window,pm10_window,pm25_window,temperature_window,voc_window,Month_sin,Month_cos,Hour_sin,Hour_cos,Day_sin,Day_cos
2016-12-31 23:00:00,0.044002784986391534,0.3786512370311253,0.1338695083944908,0.20313712261764208,0.2857979094076653,0.013312693498452011,12,52,31,5,23,1,0.0436810967187052,0.3749061076944744,0.11710891253052946,0.17594971873046739,0.28588235294117625,0.005873247131670005,0.048996617569188536,0.37119693224067113,0.10272738195362252,0.15978921300429058,0.286139202855443,0.013101261043570185,0.05330717133995822,0.3673868430053585,0.09247009148486982,0.1461291954798448,0.2910940766550521,0.022630104673448326,0.06841796847085053,0.3118837370954869,0.1354566298154412,0.2087062497619682,0.3593076317859952,0.05224874330037618,0.04866162854261724,0.37116329431350126,0.10410212865634054,0.16062270907153423,0.28770521081722383,0.013868204282896176,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0
2017-01-01 00:00:00,0.04344262295081967,0.37911013567438145,0.11282547501759325,0.17440968122786302,0.3064878048780486,0.003998968008255933,1,52,1,6,0,1,0.044002784986391534,0.3786512370311253,0.1338695083944908,0.20313712261764208,0.2857979094076653,0.013312693498452011,0.0436810967187052,0.3749061076944744,0.11710891253052946,0.17594971873046739,0.28588235294117625,0.005873247131670005,0.048996617569188536,0.37119693224067113,0.10272738195362252,0.15978921300429058,0.286139202855443,0.013101261043570185,0.07050657214591641,0.30694998669859,0.29127375087966223,0.34218811491538764,0.35414634146341456,0.07280701754385964,0.04556016642476168,0.3749180923220903,0.11790193429288087,0.17962535145079997,0.28593982173476157,0.010762400557897405,0.49999999999999994,0.8660254037844387,0.0,1.0,0.20129852008866006,0.9795299412524945
2017-01-01 01:00:00,0.04338019092117452,0.3797492079614984,0.10212611690444204,0.16274909663339412,0.32413895048041375,0.0002345435781968279,1,52,1,6,1,1,0.04344262295081967,0.37911013567438145,0.11282547501759325,0.17440968122786302,0.3064878048780486,0.003998968008255933,0.044002784986391534,0.3786512370311253,0.1338695083944908,0.20313712261764208,0.2857979094076653,0.013312693498452011,0.0436810967187052,0.3749061076944744,0.11710891253052946,0.17594971873046739,0.28588235294117625,0.005873247131670005,0.06453994978585142,0.3003724394785847,0.19099225897255453,0.275836284927194,0.38442276422764216,0.06107671138630891,0.04370883488530539,0.37755582679999367,0.12126796531420446,0.18449884085865745,0.2927226890756301,0.007728302879459321,0.49999999999999994,0.8660254037844387,0.2697967711570243,0.9629172873477994,0.20129852008866006,0.9795299412524945
2017-01-01 02:00:00,0.04052577167331265,0.38012769353551473,0.11630307295331926,0.17327823691460054,0.3358048780487804,0.0007223942208462326,1,52,1,6,2,1,0.04338019092117452,0.3797492079614984,0.10212611690444204,0.16274909663339412,0.32413895048041375,0.0002345435781968279,0.04344262295081967,0.37911013567438145,0.11282547501759325,0.17440968122786302,0.3064878048780486,0.003998968008255933,0.044002784986391534,0.3786512370311253,0.1338695083944908,0.20313712261764208,0.2857979094076653,0.013312693498452011,0.04500939605518463,0.30063709166964797,0.22795991166978088,0.3435248137442494,0.42274179983179133,0.014910501405643928,0.043608532952795175,0.37917019355566833,0.11627370010550864,0.18009863349296637,0.30547488825537594,0.005848735028301595,0.49999999999999994,0.8660254037844387,0.5195839500354336,0.8544194045464886,0.20129852008866006,0.9795299412524945
2017-01-01 03:00:00,0.043078675865561106,0.381256413179797,0.12695285010555946,0.1845167819193793,0.3418815331010452,0.0003685684800235874,1,52,1,6,3,1,0.04052577167331265,0.38012769353551473,0.11630307295331926,0.17327823691460054,0.3358048780487804,0.0007223942208462326,0.04338019092117452,0.3797492079614984,0.10212611690444204,0.16274909663339412,0.32413895048041375,0.0002345435781968279,0.04344262295081967,0.37911013567438145,0.11282547501759325,0.17440968122786302,0.3064878048780486,0.003998968008255933,0.0370011643362768,0.30020972920804023,0.28497782432941104,0.3813184701133961,0.4486216676120248,0.001235990112079102,0.042449528515102204,0.3796623457237982,0.11041822162511812,0.1701456715919525,0.3221438778024143,0.0016519686024330023,0.49999999999999994,0.8660254037844387,0.730835964278124,0.6825531432186541,0.20129852008866006,0.9795299412524945
2017-01-01 04:00:00,0.042357111209570225,0.38055523885531867,0.10177943098421637,0.14751222803170852,0.35648780487804865,0.00029485478401886924,1,52,1,6,4,1,0.043078675865561106,0.381256413179797,0.12695285010555946,0.1845167819193793,0.3418815331010452,0.0003685684800235874,0.04052577167331265,0.38012769353551473,0.11630307295331926,0.17327823691460054,0.3358048780487804,0.0007223942208462326,0.04338019092117452,0.3797492079614984,0.10212611690444204,0.16274909663339412,0.32413895048041375,0.0002345435781968279,0.030862712829925944,0.28541785429255495,0.4047451492912436,0.49235958846348454,0.49251567944250874,0.004879846675512309,0.042328212820016024,0.38037777155893665,0.11512734665444019,0.1735147051557913,0.33394178721007983,0.00044183542635555396,0.49999999999999994,0.8660254037844387,0.8878852184023752,0.4600650377311522,0.20129852008866006,0.9795299412524945
2017-01-01 05:00:00,0.03470284639978924,0.38048683160415,0.09021054833862716,0.13673059127604584,0.3637969676994066,0.0003068083563439592,1,52,1,6,5,1,0.042357111209570225,0.38055523885531867,0.10177943098421637,0.14751222803170852,0.35648780487804865,0.00029485478401886924,0.043078675865561106,0.381256413179797,0.12695285010555946,0.1845167819193793,0.3418815331010452,0.0003685684800235874,0.04052577167331265,0.38012769353551473,0.11630307295331926,0.17327823691460054,0.3358048780487804,0.0007223942208462326,0.02269130957655548,0.2744342150267928,0.35865084950236253,0.46280991735537186,0.4957491289198606,0.002229839304142708,0.04198718624948125,0.38064644852354346,0.11501178468103164,0.16843574895522942,0.34472473867595815,0.0004619391616295677,0.49999999999999994,0.8660254037844387,0.9790840876823228,0.20345601305263397,0.20129852008866006,0.9795299412524945
2017-01-01 06:00:00,0.025170939659198407,0.38153836198528934,0.0726743633147574,0.10507674144037779,0.37207646671061295,0.0002091875156890631,1,52,1,6,6,1,0.03470284639978924,0.38048683160415,0.09021054833862716,0.13673059127604584,0.3637969676994066,0.0003068083563439592,0.042357111209570225,0.38055523885531867,0.10177943098421637,0.14751222803170852,0.35648780487804865,0.00029485478401886924,0.043078675865561106,0.381256413179797,0.12695285010555946,0.1845167819193793,0.3418815331010452,0.0003685684800235874,0.019537101504314616,0.2615247216204918,0.3576120103213699,0.5158542755945353,0.49646922183507547,0.001719986240110078,0.04004621115830678,0.38076616121308854,0.10631427647613427,0.15625320040904453,0.3540554352261669,0.0003234105401288099,0.49999999999999994,0.8660254037844387,0.9976687691905392,-0.06824241336467088,0.20129852008866006,0.9795299412524945
2017-01-01 07:00:00,0.022556088129858615,0.3812486396285279,0.07401957648263068,0.1057207255554363,0.38403547671840343,0.0005941770647652986,1,52,1,6,7,1,0.025170939659198407,0.38153836198528934,0.0726743633147574,0.10507674144037779,0.37207646671061295,0.0002091875156890631,0.03470284639978924,0.38048683160415,0.09021054833862716,0.13673059127604584,0.3637969676994066,0.0003068083563439592,0.042357111209570225,0.38055523885531867,0.10177943098421637,0.14751222803170852,0.35648780487804865,0.00029485478401886924,0.02599320632107517,0.265536046820963,0.40375322542810227,0.6134199134199133,0.4939837398373984,0.015170278637770897,0.034076965756185885,0.38086014414825264,0.08822144754586692,0.129773186916044,0.3641204130960228,0.0002702835520173018,0.49999999999999994,0.8660254037844387,0.9422609221188205,-0.33487961217098616,0.20129852008866006,0.9795299412524945
2017-01-01 08:00:00,0.0247417391507124,0.38634645272398876,0.11415237601392644,0.1469893742621015,0.3858023106546854,0.0039514420726739444,1,52,1,6,8,1,0.022556088129858615,0.3812486396285279,0.07401957648263068,0.1057207255554363,0.38403547671840343,0.0005941770647652986,0.025170939659198407,0.38153836198528934,0.0726743633147574,0.10507674144037779,0.37207646671061295,0.0002091875156890631,0.03470284639978924,0.38048683160415,0.09021054833862716,0.13673059127604584,0.3637969676994066,0.0003068083563439592,0.04243741692512184,0.2734873802873104,0.360045742434905,0.5534976387249114,0.49545731707317076,0.0589202786377709,0.027476624729615345,0.38109127773932244,0.07896816271200502,0.11584268609061994,0.3733029703761411,0.00037005764559944486,0.49999999999999994,0.8660254037844387,0.8169698930104421,-0.5766803221148671,0.20129852008866006,0.9795299412524945
